Date & Time,D: Sulphur Hexaflouride [ppm],Air Exchange [1/h],Dosage Given [Nl],7651 Flag,Monitor Flag,1403 Flag,Comment
2021-01-27 21:49:16,24.57,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:49:46,24.402,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:50:16,24.215,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:50:46,24.023,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:51:16,23.739,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:52:12,23.328,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:52:42,22.864,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:53:12,22.892,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:53:42,22.819,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:54:12,22.724,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:54:42,22.611,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:55:12,22.433,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:55:42,22.318,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:56:12,22.269,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:56:41,22.112,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:57:11,21.976,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:57:41,21.725,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:58:11,21.664,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:58:41,21.484,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:59:11,21.411,100000000000000000000000000000000,0,0,,,,
2021-01-27 21:59:41,21.271,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:00:10,21.09,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:00:40,20.982,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:01:10,20.842,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:01:40,20.728,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:02:10,20.591,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:02:40,20.475,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:03:10,20.363,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:03:40,20.106,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:04:10,19.979,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:04:40,19.774,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:05:10,19.685,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:05:40,19.599,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:06:09,19.506,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:06:39,19.33,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:07:09,19.238,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:07:39,19.184,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:08:09,19.027,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:08:39,18.87,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:09:09,18.673,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:09:39,18.565,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:10:09,18.459,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:10:39,18.259,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:11:08,17.977,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:11:38,17.885,100000000000000000000000000000000,0,0,,,,
2021-01-27 22:12:08,17.79,100000000000000000000000000000000,0,0,,,,
